LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
430540                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.26                0                   0                   0.26                -27.923000          -53.941000          F 
431339                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.29                3.42                3.42                0.29                -29.735000          -52.948000          F 
432026                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.51                1.95                1.95                0.51                -29.269000          -53.012000          F 
430045                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.26                3.89                3.89                0.26                -27.827000          -54.057000          F 
431342                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.24                0                   0                   0.24                -27.574000          -54.505000          F 
431406                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.40                2.52                2.52                0.40                -29.453000          -52.961000          F 
430513                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.34                2.98                2.98                0.34                -29.654000          -52.934000          F 
431390                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             3                   2.94                1.02                1.02                2.94                -28.293000          -53.502000          F 
431087                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.19                0                   0                   0.19                -29.034000          -53.059000          F 
431333                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.16                0                   0                   0.16                -28.064000          -53.697000          F 
430960                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             5                   1.32                3.79                3.79                1.32                -27.626000          -54.308000          F 
431849                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.16                6.40                6.40                0.16                -27.725000          -54.129000          F 
430300                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             10                  5.53                1.81                1.81                5.53                -30.039000          -52.894000          F 
430435                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.63                0                   0                   0.63                -31.558000          -53.673000          F 
